Feature,Coefficient,Std_Error,p_value,CI_lower,CI_upper,Significant
gir,-3.772835319214802,0.11028205169969128,5.828772466949209e-186,-3.989175157839702,-3.5564954805899016,True
sg_putt,-1.9560110577314038,0.11450089955006607,1.8126710701254714e-59,-2.1806269925031048,-1.7313951229597029,True
scrambling,-1.8364348010872602,0.11446238820154167,3.216318572107123e-53,-2.0609751883079626,-1.6118944138665576,True
sg_arg,-1.1080632389183005,0.10234111733532701,2.857130597539766e-26,-1.3088253798812493,-0.9073010979553517,True
poor_shots,0.9920310199497495,0.11870907226514262,1.5609748453875076e-16,0.7591599303994228,1.2249021095000763,True
accuracy,-0.9402503152232626,0.1037685765932756,4.338320219175148e-19,-1.1438126970300175,-0.7366879334165077,True
distance,-0.7157906556601074,0.09687540824447259,2.5654923598098324e-13,-0.9058307380064281,-0.5257505733137866,True
sg_app,-0.6863818200431548,0.1155850671880876,3.644053148615746e-09,-0.9131245619265934,-0.4596390781597163,True
prox_rgh,0.5784063854633577,0.0903314413029743,2.0857772261740162e-10,0.40120357564027187,0.7556091952864434,True
sg_ott,-0.44173778069637637,0.11545830754542664,0.00013612676007749075,-0.6682318587200593,-0.2152437026726935,True
prox_fw,0.3402318623588604,0.110571234144792,0.0021321081848102775,0.12332473574337571,0.557138988974345,True
great_shots,-0.266639328911657,0.11409772765819164,0.019585757738593387,-0.4904643630727697,-0.04281429475054427,True
