Feature,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,0.9334763948497852,0.13897148109865667,6.717035664224553,5.577151677124107e-11,0.6603676156347996,1.2065851740647706
distance,-0.5527921387213532,0.17959041129467682,-3.07807156705219,0.002209896701069145,-0.9057258313009631,-0.19985844614174347
accuracy,-1.31269146524451,0.1619756075249377,-8.104254000358718,4.985900880060947e-15,-1.6310082888404052,-0.994374641648615
sg_ott,-0.48481543901845436,0.21480451340343917,-2.2570076919561233,0.024483225365037272,-0.9069523980671649,-0.06267847996974385
sg_app,-0.5979989223727467,0.20095228037714558,-2.975825510665653,0.003078359054666414,-0.992913271276525,-0.20308457346896835
prox_fw,0.8772380190173281,0.20236030812561961,4.335030061689585,1.797264877705537e-05,0.4795565934698636,1.2749194445647927
prox_rgh,0.1299362202297181,0.14579869147624092,0.8912029244850408,0.3732934145464699,-0.15658949227924487,0.41646193273868104
sg_arg,-1.6320555772707375,0.18481984402791546,-8.830521342850119,2.2972788304252075e-17,-1.9952662272409634,-1.2688449273005116
scrambling,-1.1520266752974695,0.19583754867201353,-5.882562782823995,7.857977939722433e-09,-1.5368894789420509,-0.7671638716528882
sg_putt,-2.251643630494076,0.1983203216268936,-11.35356988140714,1.841374136590559e-26,-2.6413856157190416,-1.8619016452691106
gir,-3.266734429213032,0.22330312299654834,-14.629147973284399,5.7342623984979786e-40,-3.705572979643294,-2.8278958787827695
great_shots,-0.0652541133044374,0.18310837787299408,-0.35636880224944345,0.7217303083669993,-0.4251013650540849,0.2945931384452102
poor_shots,0.5725309552951772,0.18519000852538858,3.091586635013768,0.00211372959418366,0.2085928526618986,0.9364690579284558
