Feature,Coefficient,p_value
sg_putt,8.446699336855739,1.0820912555299631e-23
sg_app,8.435908733282147,5.852316287585779e-24
sg_arg,5.97211159786696,3.671531531575025e-22
sg_ott,5.541068662585606,5.0484266989167075e-21
gir,1.2611001940054032,3.542099187631541e-07
scrambling,0.9779316590450111,0.0001407220557672344
prox_fw,0.973830630245242,0.00012328090381855683
accuracy,0.7418105834008939,0.0015528123247701667
distance,0.7350996784993507,0.0007087762584873909
poor_shots,-0.5151620125569165,0.09244236268200542
great_shots,0.1545246863964075,0.5662698838337831
prox_rgh,0.1317765529606353,0.5576391591671002
