Feature,Coefficient,Std_Error,z_value,p_value,CI_lower,CI_upper
const,-8.204862089040317,0.7835456450135655,-10.471453885623047,1.1683461208873806e-25,-9.740583333510111,-6.6691408445705225
distance,0.7350996784993507,0.2170893654565673,3.3861616249756867,0.0007087762584873909,0.30961234077782507,1.1605870162208762
accuracy,0.7418105834008939,0.23440686691982862,3.1646282088425615,0.0015528123247701667,0.2823815665091564,1.2012396002926313
sg_ott,5.541068662585606,0.5889634002566084,9.408171475802044,5.0484266989167075e-21,4.386721609870405,6.695415715300807
sg_app,8.435908733282147,0.835706779631174,10.094340430031215,5.852316287585779e-24,6.797953543569095,10.0738639229952
prox_fw,0.973830630245242,0.25363419604144105,3.839508415837306,0.00012328090381855683,0.476716740756246,1.470944519734238
prox_rgh,0.1317765529606353,0.22473976108876248,0.5863517533445685,0.5576391591671002,-0.3087052846674754,0.5722583905887461
sg_arg,5.97211159786696,0.6169614407918107,9.679878194984648,3.671531531575025e-22,4.76288939406507,7.181333801668851
scrambling,0.9779316590450111,0.25688427933721764,3.8068957024857824,0.0001407220557672344,0.4744477233495378,1.4814155947404846
sg_putt,8.446699336855739,0.8418200762268725,10.033853522138303,1.0820912555299631e-23,6.796762305988306,10.096636367723171
gir,1.2611001940054032,0.2476605357300858,5.092051465881589,3.542099187631541e-07,0.7756944635825398,1.7465059244282666
great_shots,0.1545246863964075,0.26941627201716045,0.5735536507852987,0.5662698838337831,-0.37352150360627334,0.6825708763990883
poor_shots,-0.5151620125569165,0.30616064928076064,-1.6826526000880468,0.09244236268200542,-1.1152258586306063,0.08490183351677316
