Feature,SHAP_Importance
sg_app,0.10986563352592255
sg_putt,0.07576978599728146
sg_ott,0.05787639657790033
poor_shots,0.05592438630020377
sg_arg,0.05426311004750286
scrambling,0.045541535454802454
gir,0.04057815998337914
great_shots,0.029383831358708472
distance,0.0173686748065
accuracy,0.015107588737711971
prox_fw,0.01196806042456196
prox_rgh,0.0057855271889850415
major_The Masters,0.002556065404929758
major_PGA Championship,0.0022642527514347963
major_US Open,0.0009511002459198625
major_The Open Championship,0.0009314526668755251
